Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
13/12/2025,AMZN,31.94774,28.7352,0.8994439043262528,11.46%,58.76016512360961,,,
13/12/2025,ASML,38.165607,35.519897,0.9306781626714334,11.45%,128.230140338518,,,
13/12/2025,NVDA,43.321785,23.538843,0.5433488717050786,30.32%,2192.9888490674048,,,
13/12/2025,GOOG,30.683794,27.775663,0.9052225744964916,12.84%,73.67517635313718,,,
13/12/2025,BKNG,34.482212,9.551615,0.27700122602343497,8.76%,31.516843793327332,,,
13/12/2025,NEM.DE,52.59887,38.236755,0.72695012269275,,60.07316082259628,,,
13/12/2025,CRM,34.964,20.093006,0.5746769820386683,9.62%,24.41855434912244,,,
13/12/2025,INTU,46.080013,25.408012,0.5513889937487647,12.78%,65.35753695081928,,,
13/12/2025,MA,36.638695,29.93506,0.8170340128107729,12.26%,53.07002863996873,,,
13/12/2025,MSFT,34.010662,25.553968,0.751351679070522,15.29%,,,,
13/12/2025,SPGI,36.491627,25.2913,0.6930713174285158,7.49%,48.347982152027626,,,
13/12/2025,V,34.134445,24.109804,0.7063189104143923,,38.53323011547179,,,
