Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
10/01/2026,AMZN,34.940678,31.463036,0.9004701053597186,11.50%,70.0919519049496,,,
10/01/2026,ASML,45.04526,41.241577,0.9155586403541682,11.85%,161.1309287406795,,,
10/01/2026,NVDA,45.644444,24.431828,0.535264007159338,27.73%,2543.4152786704876,,,
10/01/2026,GOOG,32.459568,29.295534,0.9025238413524174,13.06%,82.62422758645417,,,
10/01/2026,BKNG,35.714073,20.624414,0.5774870315127597,8.92%,39.124991305937215,,,
10/01/2026,NEM.DE,51.75141,37.688183,0.7282542253438119,,60.106972562683985,,,
10/01/2026,CRM,34.70494,19.81484,0.5709515705833232,9.70%,25.952221363039303,,,
10/01/2026,INTU,44.429947,24.489141,0.5511854650648131,12.92%,64.341649631779,,,
10/01/2026,MA,36.77572,30.11282,0.81882339761125,12.26%,57.44225420763247,,,
10/01/2026,MSFT,34.136753,25.571993,0.74910443298459,15.29%,94.6590253478336,,,
10/01/2026,SPGI,39.35657,27.254751,0.6925082902295602,7.49%,57.34965898107523,,,
10/01/2026,V,34.25759,24.254278,0.707997205874669,,40.75159995496624,,,
