Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
27/12/2025,AMZN,32.88826,29.639034,0.9012040770779602,11.46%,,,,
27/12/2025,ASML,37.587597,35.14111,0.9349123861256678,11.45%,,,,
27/12/2025,NVDA,47.160892,25.223635,0.534842195096734,30.32%,,,,
27/12/2025,GOOG,31.061142,28.112667,0.9050751256988554,12.84%,,,,
27/12/2025,BKNG,35.461445,20.498472,0.5780495408464038,8.76%,,,,
27/12/2025,NEM.DE,52.429382,38.113544,0.726950090695328,,,,,
27/12/2025,CRM,35.57219,20.282883,0.5701893248630462,9.62%,,,,
27/12/2025,INTU,46.49828,25.62968,0.5511963023148383,12.78%,,,,
27/12/2025,MA,37.035145,30.33067,0.8189699270787248,12.26%,,,,
27/12/2025,MSFT,34.712456,26.021774,0.7496379397643312,15.29%,,,,
27/12/2025,SPGI,38.449528,26.699512,0.6944041549742821,7.49%,,,,
27/12/2025,V,34.838078,24.609097,0.7063850365109119,,,,,
