Date_Requete,Ticker,PE_trailing,ForwardPE,PE_Ratio,Prevision croissance 5 ans,Performance_Moyenne_10ans,ROIC %,FCF Margin %,Gross Margin %
06/09/2025,AMZN,35.47023,37.777237,1.0650406552198843,10.60%,,,,
06/09/2025,ASML,27.858162,29.277153,1.0509362749775093,11.13%,,,,
06/09/2025,NVDA,47.584045,40.538837,0.8519418010805933,24.54%,,,,
06/09/2025,GOOG,25.071428,26.275978,1.0480447304397658,11.80%,,,,
06/09/2025,BKNG,38.314545,26.236834,0.6847747767851609,9.24%,,,,
06/09/2025,NEM.DE,70.4908,58.324875,0.8274111657124051,,110.56039928569184,,,
06/09/2025,CRM,36.50073,22.530098,0.6172506138918318,9.87%,,,,
06/09/2025,INTU,49.25476,30.266308,0.6144849350600835,12.64%,,,,
06/09/2025,MA,39.367924,35.666668,0.9059829520093566,12.26%,,,,
06/09/2025,MSFT,36.23719,33.110367,0.9137123215127884,12.13%,,,,
06/09/2025,SPGI,41.325653,32.008327,0.7745389286407646,6.65%,,,,
06/09/2025,V,33.550343,27.110584,0.8080568356633493,,,,,
